1:1	odor				De qui Pierre était-il l'apôtre ?	Pierre était un apôtre de Jésus-Christ.

1:1	jf07				A qui Pierre a-t-il écrit ?	Pierre a écrit aux étrangers de la dispersion, les élus, dans tout le Pont, la Galatie, la Cappadoce, l'Asie et la Bithynie.

1:3	r4w5				Qui Pierre voulait-il voir bénir ?	Pierre voulait que le Dieu et Père de leur Seigneur Jésus-Christ soit béni.

1:3	nxub				Comment Dieu leur a-t-il donné une nouvelle naissance ?	Dans sa grande miséricorde, Dieu leur a donné une nouvelle naissance par la résurrection de Jésus-Christ d'entre les morts.

1:4	ugba				Pourquoi l'héritage ne périrait-il pas, ne se tacherait-il pas, ne s'effacerait-il pas ?	L'héritage ne périrait pas, ne se tacherait pas, ne se fanerait pas, car l'héritage leur était réservé dans les cieux.

1:5	pbyx				Par quels moyens ont-ils été protégés par la puissance de Dieu ?	Ils ont été protégés par la foi pour le salut qui est prêt à être révélé dans les derniers temps.

1:7	fw59				Pourquoi était-il nécessaire qu'ils éprouvent de la peine dans de nombreuses épreuves différentes ?	C'était nécessaire pour que leur foi soit mise à l'épreuve, et pour que leur foi se traduise par la louange, la gloire et l'honneur lors de la révélation de Jésus-Christ.

1:7	i4k4				Qu'est-ce qui est plus précieux que l'or qui périt ?	La foi est plus précieuse que l'or.

1:8	zraz				Bien que les croyants n'aient pas vu Jésus, qu'ont-ils fait ?	Ils l'ont aimé, ont cru en lui et se sont réjouis d'une joie indicible et pleine de gloire.

1:9	ry8f				Qu'ont reçu ceux qui ont cru en lui comme résultat de leur foi ?	Ils ont reçu le salut de leurs âmes.

1:10	to2b				Sur quoi les prophètes ont-ils fait des recherches et se sont renseignés avec soin ?	Les prophètes ont fait des recherches sur le salut que les croyants recevaient, sur la grâce qui devait être la leur.

1:11	n2gg				De quoi l'Esprit du Christ parlait-il à l'avance aux prophètes ?	Il leur parlait des souffrances du Christ et des gloires qui le suivraient.

1:12	dwfa				Qui les prophètes servaient-ils par leurs recherches et leurs enquêtes ?	Ils étaient au service des croyants.

1:12	ptu8				Qui a souhaité que les résultats des recherches et des enquêtes des prophètes soient révélés ?	Même les anges ont souhaité que les résultats soient révélés.

1:13-14	bf8q				Qu'est-ce que Pierre a ordonné aux croyants de faire comme des enfants obéissants ?	Il leur a ordonné de préparer leur esprit à obéir à Dieu, d'être sobres dans leurs pensées, d'avoir une entière confiance dans la grâce qui leur serait apportée, et de ne pas se conformer à leurs anciens désirs.

1:15-16	s2te				Pourquoi Pierre a-t-il dit que les croyants devaient être saints ?	Parce que celui qui les a appelés est saint.

1:17	sdip				Pourquoi les croyants devraient-ils passer le temps de leur voyage dans la crainte ?	Parce qu'ils ont appelé "Père" celui qui juge impartialement selon le travail de chacun.

1:18	m77h				De qui les étrangers, les élus, avaient-ils appris un comportement futile ?	Ils avaient appris le comportement futile de leurs pères.

1:18-19	pxcf				Avec quoi les croyants ont-ils été rachetés ?	Ils n'ont pas été rachetés avec de l'argent ou de l'or, mais avec le sang honoré du Christ, comme d'un agneau sans défaut et sans tache.

1:20	bvct				Quand le Christ a-t-il été connu à l'avance, et quand a-t-il été révélé ?	Il était connu avant la fondation du monde ; il a été révélé aux étrangers, aux élus, dans ce qui était alors les derniers temps.

1:22	wmpc				Comment les croyants ont-ils rendu leurs âmes pures ?	Ils ont rendu leur âme pure en obéissant à la vérité par amour fraternel.

1:23	i60o				Comment les croyants sont-ils nés de nouveau ?	Ils sont nés de nouveau d'une semence impérissable, par la parole vivante et permanente de Dieu, et non d'une semence périssable.

1:24	u61n				A quoi ressemble toute chair, et à quoi ressemble sa gloire ?	La chair est comme l'herbe, sa gloire est comme la fleur de l'herbe.

1:25	qukm				Qu'arrive-t-il à la parole du Seigneur ?	La parole du Seigneur demeure à jamais.

2:1	v42f				Qu'a-t-on demandé aux croyants de mettre de côté ?	Il leur a été dit de mettre de côté toute mauvaise tromperie, hypocrisie, envie et médisance.

2:2	nt7c				Pourquoi les croyants devaient-ils aspirer au lait spirituel pur ?	Ils devaient aspirer au lait spirituel pur afin de croître dans le salut.

2:4-5	t6lp				Qui était la pierre vivante qui a été rejetée par les gens et choisie par Dieu ?	Jésus-Christ était la pierre vivante.

2:5	bx24				Pourquoi les croyants étaient-ils aussi comme des pierres vivantes ?	Ils étaient comme des pierres vivantes, car ils étaient en train d'être édifiés pour devenir une maison spirituelle.

2:7-8	dzct				Pourquoi les bâtisseurs ont-ils trébuché en désobéissant à la parole ?	Les bâtisseurs ont trébuché parce qu'ils ont été désignés pour le faire.

2:9-10	nxlv				Pourquoi les croyants étaient-ils une race élue, un sacerdoce royal, une nation sainte et un peuple pour la possession de Dieu ?	Ils ont été choisis afin qu'ils puissent annoncer les actions merveilleuses de Dieu.

2:11-12	l8g1				Pourquoi Pierre a-t-il appelé les bien-aimés à s'abstenir de tout désir pécheur ?	Il les a appelés à s'abstenir afin que ceux qui pourraient parler d'eux comme ayant fait le mal voient leur bon comportement et louent Dieu.

2:13-15	a9th				Pourquoi les croyants devaient-ils obéir à toute autorité humaine ?	Ils devaient obéir à toute autorité humaine parce que Dieu voulait utiliser leur obéissance pour faire taire les propos ignorants de personnes insensées.

2:16	ufz3				Au lieu d'utiliser leur liberté comme une couverture pour la méchanceté, que devaient faire les étrangers, les élus ?	Ils devaient utiliser leur liberté pour être des serviteurs de Dieu.

2:18-20	z626				Pourquoi les serviteurs devaient-ils être soumis à leurs maîtres, même les plus malveillants ?	Les serviteurs devaient être soumis même à des maîtres malveillants, car faire le bien et ensuite souffrir en étant puni pour cela est louable auprès de Dieu.

2:21-23	uyr5				Pourquoi les serviteurs ont-ils été appelés à souffrir pour avoir fait le bien ?	Parce que le Christ a souffert pour eux, en leur laissant un exemple, et s'est livré à celui qui juge avec justice.

2:24	d4n8				Pourquoi le Christ a-t-il porté sur l'arbre les péchés de Pierre, des croyants et des serviteurs dans son corps ?	Il a porté leurs péchés afin qu'ils ne participent plus au péché, mais vivent pour la justice, et parce qu'ils ont été guéris par ses meurtrissures.

2:25	em7z				Après qu'ils se soient tous égarés comme des brebis égarées, vers qui sont-ils revenus ?	Ils sont tous retournés auprès du berger et du gardien de leurs âmes.

3:1	erqz				Pourquoi les femmes doivent-elles se soumettre à leurs maris ?	Les épouses doivent se soumettre afin que les maris désobéissants soient gagnés sans mot dire.

3:3-4	ankk				Comment les épouses doivent-elles se parer ?	Les épouses doivent se parer de la personne intérieure du cœur, de la beauté durable d'un esprit doux et tranquille.

3:5-6	a96r				Quelle sainte femme Pierre a-t-il mentionnée comme exemple d'une épouse qui avait confiance en Dieu et se soumettait à son mari ?	Pierre a mentionné Sarah comme exemple.

3:7	fibz				Pourquoi les maris devraient-ils vivre avec leurs femmes selon la connaissance ?	Les maris doivent vivre avec leurs épouses selon la connaissance afin que leurs prières ne soient pas entravées.

3:8-9	gdre				Pourquoi Pierre a-t-il demandé à tous les étrangers, les élus, d'avoir la même attitude et de continuer à bénir ?	Parce qu'ils ont tous été appelés à le faire, afin d'hériter d'une bénédiction.

3:10-12	clme				Pourquoi celui qui veut aimer la vie devrait-il arrêter sa langue du mal et se détourner de ce qui est mauvais et faire ce qui est bon ?	Parce que les yeux du Seigneur voient les justes.

